,stage,home_team_cd,away_team_cd,away,draw,home,home_goals,away_goals
0,0,QTR,ECU,0.36801896468972384,0.19310980108853923,0.43887123422173707,0,0
1,0,SEN,NED,0.6519355161823657,0.16325207305678163,0.1848124107608528,1,2
2,0,QTR,SEN,0.47757366896536474,0.18616126227136617,0.3362650687632691,0,0
3,0,NED,ECU,0.13181616023655598,0.10881372096866136,0.7593701187947826,2,0
4,0,ECU,SEN,0.4252154671174124,0.15780800284114013,0.41697653004144736,1,1
5,0,NED,QTR,0.09881028208665764,0.11850163014645984,0.7826880877668824,0,0
6,0,ENG,IRN,0.09060913569833841,0.2507425815798051,0.6586482827218567,2,0
7,0,USA,WAL,0.3342709046618225,0.16592075292470104,0.49980834241347605,1,1
8,0,WAL,IRN,0.2429177355528509,0.2316342612928764,0.525448003154273,2,0
9,0,ENG,USA,0.0842221209871937,0.47303667327968874,0.44274120573311804,2,2
10,0,WAL,ENG,0.42757811517312194,0.37031913234512626,0.2021027524817518,0,2
11,0,IRN,USA,0.2017883967957732,0.43728493299686755,0.36092667020735986,1,1
12,0,ARG,KSA,0.07460880355524384,0.06776753162966588,0.8576236648150901,4,0
13,0,MEX,POL,0.3129927672986337,0.25168299155195034,0.4353242411494158,2,1
14,0,POL,KSA,0.20356589094674715,0.1488057840421188,0.6476283250111339,3,1
15,0,ARG,MEX,0.15699444434677023,0.2051072822747135,0.6378982733785163,2,1
16,0,POL,ARG,0.3608545007125311,0.3097708792065791,0.32937462008089,1,1
17,0,KSA,MEX,0.5663319326452437,0.227366221105386,0.2063018462493702,1,2
18,0,DEN,TUN,0.22188157259622404,0.2534116028911737,0.5247068245126021,2,1
19,0,FRA,AUS,0.09690649135666402,0.1830759302221,0.720017578421236,3,0
20,0,TUN,AUS,0.1766399146153545,0.3670958899897619,0.45626419539488394,1,1
21,0,FRA,DEN,0.30121128854236623,0.13795594231103792,0.5608327691465957,2,1
22,0,AUS,DEN,0.6447746910605114,0.1433052946873552,0.21192001425213325,1,3
23,0,TUN,FRA,0.6938196599611499,0.17477074159442768,0.13140959844442307,0,3
24,0,GER,JPN,0.10556702511609538,0.09708193387958691,0.797351041004318,3,0
25,0,ESP,CRC,0.28336933819235216,0.22550931657318282,0.49112134523446505,2,1
26,0,JPN,CRC,0.5288792506620291,0.19002853200722775,0.2810922173307432,1,1
27,0,ESP,GER,0.598293378021052,0.28401987251758676,0.11768674946136112,0,2
28,0,JPN,ESP,0.8109570970943774,0.1021909298453228,0.0868519730603002,0,3
29,0,CRC,GER,0.6756187022773259,0.23858881089344441,0.08579248682923027,0,3
30,0,MAR,CRO,0.645106786732531,0.13526861129783543,0.21962460196963357,1,2
31,0,BEL,CAN,0.1776790234438248,0.14116481551657373,0.6811561610396013,1,0
32,0,BEL,MAR,0.2496861045070457,0.1678977548571867,0.5824161406357677,2,1
33,0,CRO,CAN,0.22124206935121854,0.21271049568024014,0.5660474349685413,2,1
34,0,CRO,BEL,0.3955540557341225,0.3107541312018958,0.2936918130639817,1,2
35,0,CAN,MAR,0.3965644636857318,0.23063845894447207,0.3727970773697964,0,2
36,0,SUI,CMR,0.18113908569220677,0.42543842037686175,0.39342249393093176,1,1
37,0,BRA,SRB,0.12721183614139248,0.08715019657187927,0.7856379672867282,2,0
38,0,CMR,SRB,0.4536841939988716,0.25216313336751783,0.2941526726336104,1,1
39,0,BRA,SUI,0.1272588649337437,0.1988640530420374,0.6738770820242188,3,1
40,0,SRB,SUI,0.5226373292486601,0.17830073760467657,0.29906193314666296,1,1
41,0,CMR,BRA,0.773651677264009,0.14213809447889134,0.08421022825710023,0,3
42,0,URU,KOR,0.09433378668589668,0.5333460964490551,0.37232011686504846,2,2
43,0,POR,GHA,0.24933981380634151,0.15877626377681106,0.5918839224168474,2,1
44,0,KOR,GHA,0.46175855487426276,0.17820036017059337,0.3600410849551436,1,2
45,0,POR,URU,0.37129499812891226,0.2819460655099958,0.3467589363610921,1,1
46,0,GHA,URU,0.5936828587271953,0.22205141879567392,0.18426572247713083,1,2
47,0,KOR,POR,0.35794348823170935,0.28308189522758,0.35897461654071017,2,2
