Year,Datetime,Stage,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Home Team Initials,Away Team Initials
1982,6/20/1982,Group 5,Spain,2,1,Yugoslavia, ,ESP,YUG
1982,6/21/1982,Group 2,Algeria,0,2,Austria, ,ALG,AUT
1982,6/21/1982,Group 4,France,4,1,Kuwait, ,FRA,KUW
1982,6/21/1982,Group 5,Honduras,1,1,Northern Ireland, ,HON,NIR
1982,6/22/1982,Group 1,Poland,5,1,Peru, ,POL,PER
1982,6/22/1982,Group 3,Belgium,1,1,Hungary, ,BEL,HUN
1982,6/22/1982,Group 6,Soviet Union,2,2,Scotland, ,URS,SCO
1982,6/23/1982,Group 1,Italy,1,1,Cameroon, ,ITA,CMR
1982,6/23/1982,Group 3,Argentina,2,0,El Salvador, ,ARG,SLV
1982,6/23/1982,Group 6,Brazil,4,0,New Zealand, ,BRA,NZL
1982,6/24/1982,Group 2,Algeria,3,2,Chile, ,ALG,CHI
1982,6/24/1982,Group 4,France,1,1,Czechoslovakia, ,FRA,TCH
1982,6/24/1982,Group 5,Honduras,0,1,Yugoslavia, ,HON,YUG
1982,6/25/1982,Group 2,Germany,1,0,Austria, ,GER,AUT
1982,6/25/1982,Group 4,England,1,0,Kuwait, ,ENG,KUW
1982,6/25/1982,Group 5,Northern Ireland,1,0,Spain, ,NIR,ESP
1982,6/28/1982,Group 4,Austria,0,1,France, ,AUT,FRA
1982,6/28/1982,Group 1,Poland,3,0,Belgium, ,POL,BEL
1982,6/29/1982,Group 3,Italy,2,1,Argentina, ,ITA,ARG
1982,6/29/1982,Group 2,Germany,0,0,England, ,GER,ENG
1982,7/1/1982,Group 4,Austria,2,2,Northern Ireland, ,AUT,NIR
1982,7/1/1982,Group 1,Belgium,0,1,Soviet Union, ,BEL,URS
1982,7/2/1982,Group 3,Argentina,1,3,Brazil, ,ARG,BRA
1982,7/2/1982,Group 2,Germany,2,1,Spain, ,GER,ESP
1982,7/4/1982,Group 4,France,4,1,Northern Ireland, ,FRA,NIR
1982,7/4/1982,Group 1,Poland,0,0,Soviet Union, ,POL,URS
1982,7/5/1982,Group 3,Italy,3,2,Brazil, ,ITA,BRA
1982,7/5/1982,Group 2,Spain,0,0,England, ,ESP,ENG
1982,7/8/1982,Semi-finals,Poland,0,2,Italy, ,POL,ITA
1982,7/8/1982,Semi-finals,Germany,3,3,France, win on penalties (5 - 4) ,GER,FRA
1982,7/10/1982,Third place,Poland,3,2,France, ,POL,FRA
1982,7/11/1982,Final,Italy,3,1,Germany, ,ITA,GER
1986,5/31/1986,Group A,Bulgaria,1,1,Italy, ,BUL,ITA
1986,6/1/1986,Group C,Canada,0,1,France, ,CAN,FRA
1986,6/1/1986,Group D,Spain,0,1,Brazil, ,ESP,BRA
1986,6/2/1986,Group C,Soviet Union,6,0,Hungary, ,URS,HUN
1986,6/2/1986,Group A,Argentina,3,1,Korea Republic, ,ARG,KOR
1986,6/2/1986,Group F,Morocco,0,0,Poland, ,MAR,POL
1986,6/3/1986,Group D,Algeria,1,1,Northern Ireland, ,ALG,NIR
1986,6/3/1986,Group B,Belgium,1,2,Mexico, ,BEL,MEX
1986,6/3/1986,Group F,Portugal,1,0,England, ,POR,ENG
1986,6/4/1986,Group B,Paraguay,1,0,Iraq, ,PAR,IRQ
